Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Composite,0","Temp:Sensor1,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:psys,0",Throttle
2026-04-23_03:42:13,49.0,50.0,49.0,47.0,45.0,47.0,43.0,38.0,37.9,38.9,2308,2800,2800,2800,2800,674,992,2800,2800,6.5,52.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,2.6,0.0,2.4,
2026-04-23_03:42:15,49.0,50.0,49.0,45.0,45.0,47.0,42.0,37.0,37.9,35.9,2771,2572,2800,2800,2800,2800,2800,2800,2800,0.7,1.9,0.0,0.5,0.5,1.0,0.0,0.0,1.4,1.8,0.5,0.2,1.8,
2026-04-23_03:42:17,54.0,49.0,54.0,48.0,46.0,54.0,42.0,37.0,35.9,35.9,2772,2800,2800,2800,2800,2800,2800,2800,2580,9.4,5.4,2.9,46.1,3.9,3.9,4.9,4.9,3.4,5.2,2.5,0.8,2.3,
2026-04-23_03:42:19,54.0,50.0,57.0,47.0,45.0,55.0,43.0,37.0,35.9,35.9,2677,1820,2800,2800,2800,2800,2800,2800,2800,13.9,2.5,1.5,100.0,2.0,0.0,0.0,4.4,1.0,6.9,4.0,0.7,2.6,
2026-04-23_03:42:21,54.0,50.0,55.0,48.0,46.0,56.0,43.0,37.0,35.9,35.9,2334,1904,776,2800,2800,2800,2800,2800,1994,14.2,3.4,1.0,100.0,1.9,1.0,0.5,3.4,2.4,6.9,4.0,0.8,2.6,
2026-04-23_03:42:23,54.0,50.0,54.0,48.0,46.0,52.0,43.0,37.0,35.9,35.9,1603,1300,2800,1300,1279,813,1259,2800,1273,13.7,2.5,0.5,100.0,1.0,0.5,1.5,1.5,2.4,7.0,4.1,0.8,2.6,
2026-04-23_03:42:25,54.0,50.0,55.0,48.0,46.0,55.0,42.0,37.0,36.9,36.9,2311,1027,810,2800,2800,2800,2800,2800,2652,14.3,2.0,2.0,100.0,2.0,0.5,0.5,6.3,1.0,7.0,4.1,0.7,2.6,
2026-04-23_03:42:27,55.0,50.0,55.0,48.0,45.0,56.0,44.0,37.0,36.9,35.9,2320,1212,2800,2800,2800,2800,550,2800,2800,14.3,1.0,2.0,99.5,1.0,3.4,2.0,0.5,4.9,7.0,4.1,0.8,2.6,
2026-04-23_03:42:29,54.0,50.0,54.0,48.0,47.0,54.0,43.0,37.0,35.9,35.9,2339,1944,2800,1960,2800,1912,2800,2512,1983,14.0,0.5,1.9,100.0,0.0,2.4,0.5,1.4,5.3,6.9,4.1,0.7,2.6,
2026-04-23_03:42:31,55.0,50.0,55.0,50.0,46.0,56.0,43.0,37.0,35.9,36.9,2371,1467,2800,2800,750,2800,2800,2800,2754,13.7,1.5,0.0,100.0,2.4,3.4,0.5,0.0,2.0,6.9,4.1,0.7,2.5,
2026-04-23_03:42:33,55.0,50.0,55.0,48.0,45.0,55.0,44.0,37.0,36.9,35.9,1855,1683,1089,2800,400,2800,474,2800,2800,14.0,0.5,0.5,100.0,2.0,3.4,1.5,1.9,1.9,7.0,4.1,0.7,2.3,
2026-04-23_03:42:35,54.0,50.0,56.0,48.0,47.0,56.0,45.0,37.0,35.9,35.9,2554,1516,2800,2800,2800,2800,2800,2800,2116,13.9,1.0,0.5,100.0,1.0,2.4,1.5,0.5,4.4,7.0,4.1,0.8,2.3,
2026-04-23_03:42:37,54.0,50.0,54.0,49.0,47.0,54.0,44.0,37.0,35.9,35.9,1962,1350,2800,2800,699,1500,1213,2800,2533,14.3,1.0,1.0,99.5,2.4,3.9,4.4,0.5,1.5,7.0,4.2,0.7,2.3,
2026-04-23_03:42:40,55.0,50.0,56.0,47.0,47.0,56.0,43.0,37.0,35.9,35.9,2320,1201,783,2774,2800,2800,2800,2800,2602,14.0,0.5,0.5,100.0,1.5,3.9,2.9,0.5,1.9,7.0,4.2,0.7,2.3,
