Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Composite,0","Temp:Sensor1,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:psys,0",Throttle
2026-04-23_03:41:25,50.0,50.0,49.0,46.0,47.0,47.0,43.0,38.0,37.9,37.9,2324,2800,631,2800,1224,2800,2743,2800,2800,7.8,0.0,0.0,0.0,0.0,8.3,54.5,0.0,0.0,4.6,2.8,0.0,2.4,
2026-04-23_03:41:27,49.0,50.0,49.0,47.0,46.0,48.0,42.0,38.0,38.9,35.9,1982,1134,2800,2800,1369,2346,1927,1908,1575,2.0,2.8,2.4,0.5,0.5,1.9,2.9,1.9,3.3,2.5,0.7,0.4,1.9,
2026-04-23_03:41:29,54.0,50.0,55.0,51.0,46.0,55.0,42.0,38.0,35.9,35.9,1964,1737,1650,1758,2800,2800,1750,2800,416,14.5,4.4,4.4,92.2,4.9,1.5,3.4,2.4,3.0,7.0,4.0,0.8,2.6,
2026-04-23_03:41:31,54.0,50.0,55.0,48.0,45.0,57.0,42.0,38.0,35.9,36.9,2361,1497,601,2795,2800,2800,2793,2800,2800,13.8,2.0,4.4,100.0,0.0,0.5,1.5,0.0,2.4,6.8,4.1,0.7,2.6,
2026-04-23_03:41:33,54.0,50.0,55.0,48.0,47.0,55.0,42.0,37.0,36.9,35.9,2160,884,1894,2446,2800,2800,2370,2800,1288,14.0,1.5,5.9,100.0,0.5,0.0,2.0,0.0,2.4,6.9,4.0,0.7,2.6,
2026-04-23_03:41:35,54.0,50.0,54.0,48.0,47.0,55.0,43.0,38.0,35.9,35.9,1448,937,797,2766,713,836,2769,1391,1376,14.0,0.5,5.9,99.5,0.0,1.0,2.0,0.0,2.9,7.0,4.1,0.8,2.6,
2026-04-23_03:41:38,54.0,50.0,56.0,48.0,47.0,56.0,42.0,37.0,35.9,35.9,2566,2800,2800,2800,935,2800,2800,2800,2800,14.2,2.5,4.9,100.0,3.4,1.0,1.5,0.0,0.0,7.0,4.2,0.7,2.6,
2026-04-23_03:41:40,54.0,50.0,56.0,48.0,45.0,56.0,42.0,37.0,35.9,35.9,2431,779,2274,2800,2800,2800,2400,2800,2800,14.0,0.5,4.9,100.0,2.5,1.0,2.9,0.5,0.0,6.9,4.1,0.7,2.6,
2026-04-23_03:41:42,55.0,50.0,56.0,51.0,47.0,56.0,43.0,37.0,35.9,35.9,2163,925,2800,2658,462,2800,2060,2800,2800,14.1,4.4,1.0,100.0,2.4,0.5,3.4,0.0,1.0,6.9,4.1,0.7,2.6,
2026-04-23_03:41:44,55.0,50.0,56.0,48.0,47.0,55.0,44.0,37.0,36.9,36.9,1997,1300,1412,1299,2800,2800,2269,2800,1300,13.9,4.4,2.4,100.0,1.5,0.5,1.9,0.5,0.0,7.0,4.1,0.8,2.4,
2026-04-23_03:41:46,55.0,50.0,56.0,48.0,47.0,56.0,45.0,37.0,36.9,36.9,2494,1462,2800,2799,2800,2800,1871,2800,2625,13.9,3.9,2.5,100.0,1.0,0.0,1.9,0.0,1.9,7.0,4.1,0.8,2.3,
2026-04-23_03:41:48,55.0,51.0,56.0,48.0,47.0,56.0,43.0,37.0,36.9,36.9,2481,2178,2800,2800,874,2800,2800,2800,2800,14.1,4.4,2.4,100.0,0.0,0.5,3.4,0.0,2.0,7.0,4.2,0.7,2.3,
2026-04-23_03:41:50,55.0,50.0,54.0,48.0,47.0,52.0,44.0,37.0,35.9,35.9,1832,922,896,1599,1820,2800,1526,2800,2294,14.0,1.0,3.4,100.0,1.9,0.0,1.5,0.0,4.4,7.0,4.2,0.7,2.3,
