Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Composite,0","Temp:Sensor1,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:psys,0",Throttle
2026-04-23_03:38:58,49.0,50.0,49.0,46.0,45.0,49.0,41.0,37.0,36.9,37.9,2799,2800,2800,2800,2800,2800,2800,2794,2800,6.2,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,4.3,2.6,0.0,2.4,
2026-04-23_03:39:00,49.0,50.0,49.0,45.0,45.0,48.0,42.0,37.0,38.9,35.9,2433,1959,2800,1518,2800,2800,2800,2800,1990,0.5,0.0,0.5,0.0,0.0,0.5,1.0,1.9,0.0,1.7,0.5,0.1,1.8,
2026-04-23_03:39:02,54.0,50.0,56.0,48.0,46.0,55.0,42.0,38.0,36.9,35.9,2367,978,2800,2800,2800,2800,1160,2800,2800,9.4,4.4,2.9,45.6,2.9,4.4,4.4,4.9,5.9,5.3,2.5,0.9,2.4,
2026-04-23_03:39:04,55.0,50.0,54.0,48.0,45.0,52.0,43.0,37.0,35.9,35.9,1714,859,2800,1369,553,1477,2800,1372,2486,14.3,1.0,1.9,100.0,2.5,3.4,0.5,2.4,2.4,7.1,4.2,0.8,2.6,
2026-04-23_03:39:06,55.0,50.0,57.0,48.0,45.0,56.0,42.0,37.0,35.9,35.9,2623,1388,2800,2799,2800,2800,2800,2800,2800,13.9,1.5,0.0,99.5,1.0,3.4,1.4,2.4,2.4,7.1,4.3,0.7,2.6,
2026-04-23_03:39:08,55.0,50.0,56.0,48.0,46.0,56.0,42.0,37.0,35.9,35.9,1887,1551,870,2800,896,2800,578,2800,2800,14.5,1.5,0.5,100.0,2.9,2.4,3.4,2.9,2.4,7.3,4.4,0.8,2.7,
2026-04-23_03:39:10,55.0,50.0,55.0,48.0,46.0,56.0,43.0,37.0,35.9,35.9,1714,1455,1413,2800,779,1480,563,2799,2421,14.0,0.0,0.0,100.0,2.0,4.9,0.0,2.4,2.4,7.2,4.3,0.8,2.6,
2026-04-23_03:39:12,55.0,50.0,56.0,50.0,45.0,57.0,42.0,37.0,35.9,34.9,2564,916,2800,2799,2800,2800,2800,2800,2800,14.1,0.5,0.0,100.0,2.4,4.4,0.5,2.4,2.4,7.2,4.3,0.8,2.6,
2026-04-23_03:39:14,55.0,50.0,57.0,48.0,46.0,57.0,44.0,37.0,35.9,35.9,2338,1285,2800,2799,2800,620,2800,2800,2800,14.0,1.5,0.0,100.0,2.0,0.0,4.4,2.4,1.5,7.2,4.3,0.8,2.6,
2026-04-23_03:39:16,55.0,50.0,56.0,50.0,47.0,56.0,42.0,37.0,35.9,34.9,1942,1991,2800,2800,719,537,1088,2800,2800,14.3,3.4,0.0,99.5,0.0,0.5,4.9,2.9,2.9,7.2,4.3,0.8,2.5,
2026-04-23_03:39:18,55.0,50.0,57.0,48.0,47.0,57.0,43.0,37.0,34.9,34.9,2516,1868,1459,2800,2800,2800,2800,2799,2800,14.4,3.4,2.9,100.0,2.4,0.0,1.9,2.4,2.0,7.2,4.4,0.7,2.3,
2026-04-23_03:39:20,55.0,50.0,57.0,48.0,46.0,57.0,43.0,37.0,34.9,35.9,2689,1918,2800,2800,2800,2800,2800,2800,2800,14.1,0.5,2.0,100.0,2.5,1.5,3.9,2.0,0.0,7.2,4.4,0.7,2.3,
2026-04-23_03:39:22,55.0,50.0,57.0,50.0,46.0,57.0,42.0,37.0,35.9,35.9,2118,1734,599,2799,2800,2800,617,2800,2800,14.1,0.0,2.4,100.0,2.4,2.9,1.0,2.4,1.9,7.2,4.3,0.8,2.3,
2026-04-23_03:39:24,56.0,50.0,55.0,48.0,46.0,54.0,44.0,37.0,35.9,35.9,1798,870,2479,1326,488,2800,2800,1355,2266,14.1,0.5,2.0,99.5,1.0,1.9,0.5,3.4,3.9,7.2,4.3,0.8,2.3,
2026-04-23_03:39:26,56.0,51.0,57.0,50.0,47.0,57.0,43.0,37.0,35.9,36.9,2799,2800,2800,2799,2800,2800,2800,2799,2800,14.1,1.0,0.5,100.0,1.0,2.4,2.0,2.0,3.9,7.2,4.4,0.7,2.3,
2026-04-23_03:39:28,56.0,51.0,57.0,48.0,47.0,57.0,42.0,37.0,35.9,35.9,2273,1300,1714,2800,1174,2800,2800,2799,2800,14.3,2.9,0.0,100.0,0.0,2.4,1.5,2.5,4.8,7.3,4.4,0.7,2.4,
2026-04-23_03:39:31,56.0,51.0,56.0,50.0,45.0,56.0,43.0,37.0,35.9,35.9,2660,1680,2800,2800,2800,2800,2800,2800,2800,14.3,1.0,4.4,100.0,2.0,0.5,1.5,4.3,0.5,7.2,4.4,0.7,2.3,
