Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Composite,0","Temp:Sensor1,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:psys,0",Throttle
2026-04-23_11:48:03,46.0,48.0,47.0,45.0,43.0,46.0,39.0,39.0,36.9,37.9,2555,2800,2800,2800,2800,2724,921,2800,2800,6.8,0.0,0.0,0.0,0.0,54.5,0.0,0.0,0.0,4.4,2.6,0.1,2.3,
2026-04-23_11:48:05,49.0,48.0,52.0,46.0,43.0,52.0,40.0,39.0,37.9,35.9,2309,2368,2800,2800,1096,2800,1013,2800,2800,6.9,3.8,4.8,27.8,3.3,5.3,1.9,2.9,5.3,4.2,1.7,0.7,2.1,
2026-04-23_11:48:07,51.0,48.0,50.0,46.0,42.0,50.0,39.0,40.0,37.9,35.9,2799,2800,2800,2799,2800,2800,2800,2800,2800,13.7,0.0,0.5,100.0,2.4,4.9,0.5,1.0,0.5,6.8,3.9,0.7,2.5,
2026-04-23_11:48:09,51.0,48.0,50.0,46.0,42.0,50.0,41.0,39.0,35.9,35.9,1769,2032,2800,1971,1621,1972,670,1221,1868,14.0,2.0,1.0,100.0,2.9,2.5,0.0,0.5,2.9,6.8,3.9,0.8,2.5,
2026-04-23_11:48:11,51.0,48.0,51.0,46.0,43.0,51.0,39.0,39.0,35.9,35.9,2310,1623,2800,2794,2794,1952,1617,2103,2800,14.0,0.5,1.0,100.0,2.9,4.3,0.0,0.0,3.4,6.9,4.1,0.7,2.5,
2026-04-23_11:48:13,51.0,48.0,52.0,46.0,43.0,52.0,41.0,39.0,35.9,35.9,2275,861,2800,2799,2800,2462,879,2800,2800,13.8,0.0,0.5,100.0,2.0,2.0,0.5,2.4,3.4,6.8,4.0,0.7,2.5,
2026-04-23_11:48:15,51.0,48.0,51.0,46.0,42.0,51.0,41.0,39.0,35.9,35.9,2585,1567,2800,2800,2318,2800,2800,2800,2800,14.0,0.0,2.0,100.0,3.4,2.5,0.0,1.0,3.4,6.9,4.0,0.8,2.6,
2026-04-23_11:48:17,51.0,48.0,51.0,46.0,42.0,52.0,39.0,39.0,44.9,38.9,2312,885,2800,2800,2800,2611,999,2800,2800,13.8,0.5,1.0,100.0,2.5,2.5,0.5,1.5,1.5,6.8,4.0,0.7,2.6,
2026-04-23_11:48:19,51.0,48.0,52.0,46.0,44.0,51.0,41.0,39.0,38.9,36.9,2046,828,2800,2777,2660,2187,1441,2358,1321,14.0,0.5,0.0,100.0,3.4,3.4,0.5,2.9,1.5,6.8,4.0,0.7,2.5,
2026-04-23_11:48:21,51.0,48.0,51.0,46.0,43.0,51.0,39.0,39.0,36.9,36.9,2299,994,2800,1967,1822,2456,2757,2800,2800,13.9,2.0,1.5,100.0,2.0,3.4,1.0,1.5,0.0,6.8,4.0,0.7,2.3,
2026-04-23_11:48:23,51.0,48.0,52.0,46.0,45.0,51.0,41.0,39.0,35.9,35.9,2096,1221,2800,2800,2628,1118,2800,2800,605,13.9,2.9,2.4,100.0,1.5,2.0,1.0,1.5,0.0,6.8,4.1,0.7,2.3,
2026-04-23_11:48:25,51.0,48.0,52.0,46.0,43.0,51.0,41.0,39.0,35.9,35.9,1863,1262,2800,2800,2800,521,933,2800,994,14.2,0.0,3.9,99.5,3.4,1.9,0.0,3.4,1.4,6.9,4.1,0.7,2.3,
2026-04-23_11:48:27,51.0,48.0,52.0,47.0,43.0,52.0,41.0,39.0,37.9,35.9,2281,1068,2800,2633,2659,932,2800,2553,2800,14.0,0.0,2.9,100.0,4.9,0.5,0.0,3.9,0.0,6.8,4.1,0.7,2.3,
