Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Composite,0","Temp:Sensor1,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:psys,0",Throttle
2026-04-23_03:36:29,50.0,51.0,51.0,45.0,48.0,49.0,43.0,39.0,39.9,39.9,2069,2800,2336,1090,2800,2800,620,1304,2800,6.0,0.0,0.0,0.0,0.0,0.0,47.6,0.0,0.0,4.5,2.7,0.0,2.3,
2026-04-23_03:36:31,50.0,51.0,56.0,48.0,47.0,56.0,43.0,39.0,37.9,37.9,2562,1405,2800,2800,2800,2800,2800,2294,2800,5.0,2.4,2.9,12.4,2.4,2.9,9.6,3.8,3.3,3.5,1.2,0.7,2.1,
2026-04-23_03:36:33,55.0,51.0,56.0,50.0,47.0,56.0,42.0,39.0,37.9,36.9,2160,1473,1084,2782,772,2800,2773,2800,2800,14.0,2.0,1.5,100.0,1.0,0.5,1.0,1.0,4.9,6.9,4.1,0.8,2.6,
2026-04-23_03:36:35,55.0,51.0,55.0,48.0,47.0,56.0,43.0,38.0,36.9,38.9,2383,2474,2800,2800,2800,971,2064,2357,2800,14.0,1.0,2.4,100.0,0.0,1.0,2.9,1.0,3.9,7.0,4.1,0.7,2.6,
2026-04-23_03:36:37,55.0,51.0,56.0,48.0,47.0,55.0,44.0,38.0,39.9,36.9,2155,1785,2800,1761,705,2800,1794,2800,2800,14.3,3.4,1.9,100.0,0.5,0.0,5.4,1.0,2.4,6.9,4.1,0.7,2.6,
2026-04-23_03:36:39,55.0,51.0,56.0,48.0,46.0,57.0,44.0,38.0,37.9,36.9,2566,2647,1112,2771,2800,2800,2800,2800,2800,13.8,2.0,1.5,99.5,1.0,0.5,1.5,1.0,3.4,7.0,4.1,0.7,2.6,
2026-04-23_03:36:41,55.0,51.0,55.0,48.0,47.0,55.0,43.0,38.0,36.9,38.9,2658,1732,2800,2738,2800,2800,2800,2800,2800,14.1,2.0,2.4,100.0,2.9,0.5,1.0,0.0,3.9,7.0,4.1,0.8,2.6,
2026-04-23_03:36:44,55.0,51.0,54.0,48.0,47.0,54.0,43.0,38.0,37.9,38.9,2079,1377,2800,1408,1303,2800,2800,2800,1346,13.8,1.5,2.4,100.0,2.0,0.0,0.0,0.0,4.4,6.9,4.1,0.7,2.6,
2026-04-23_03:36:46,55.0,51.0,56.0,48.0,46.0,56.0,44.0,38.0,36.9,37.9,2757,2460,2800,2799,2800,2800,2800,2800,2800,13.7,1.0,2.4,100.0,2.0,0.5,1.0,0.0,2.9,6.9,4.1,0.7,2.6,
2026-04-23_03:36:48,55.0,51.0,56.0,48.0,47.0,56.0,42.0,38.0,37.9,36.9,2732,2256,2800,2800,2800,2800,2800,2807,2800,14.3,2.4,2.4,100.0,3.9,0.5,0.5,0.5,3.9,7.0,4.2,0.7,2.3,
