Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Composite,0","Temp:Sensor1,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:psys,0",Throttle
2026-04-22_23:19:05,49.0,50.0,49.0,46.0,45.0,47.0,42.0,39.0,36.9,37.9,2583,2645,2800,1221,2800,2800,2800,2800,2800,6.5,52.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,2.6,0.0,2.2,
2026-04-22_23:19:07,49.0,50.0,47.0,45.0,45.0,47.0,42.0,39.0,35.9,35.9,2085,1400,1751,2800,2367,993,2800,2800,1771,1.4,2.4,1.4,0.5,1.4,0.5,1.0,1.4,2.9,3.3,0.6,0.4,1.7,
2026-04-22_23:19:09,49.0,50.0,48.0,45.0,45.0,47.0,41.0,39.0,35.9,35.9,2402,2683,730,2800,2800,1807,2800,2800,2800,0.7,2.0,1.0,0.0,1.0,0.5,0.5,0.0,0.5,1.9,0.5,0.2,1.7,
2026-04-22_23:19:11,49.0,49.0,49.0,46.0,43.0,46.0,43.0,39.0,35.9,35.9,2452,2800,2800,2800,2800,1227,2800,1588,2800,0.9,1.0,1.5,0.5,1.0,2.0,0.0,0.0,1.0,2.3,0.5,0.3,1.7,
2026-04-22_23:19:14,49.0,50.0,51.0,47.0,46.0,51.0,42.0,39.0,35.9,35.9,1614,2440,1851,2735,755,658,1168,2800,505,3.9,4.8,2.9,7.3,4.9,2.0,3.4,2.9,2.9,3.1,1.0,0.6,1.9,
2026-04-22_23:19:16,54.0,50.0,55.0,47.0,45.0,55.0,42.0,39.0,35.9,35.9,2071,751,2800,2759,730,2434,2017,2280,2800,13.8,0.5,4.4,100.0,0.0,2.0,2.4,0.5,1.0,7.0,4.1,0.7,2.4,
2026-04-22_23:19:18,54.0,50.0,55.0,47.0,46.0,55.0,43.0,39.0,35.9,35.9,2040,2506,2384,1829,2800,1795,1157,2800,1054,13.7,1.0,1.0,100.0,0.0,1.5,1.0,4.9,0.0,7.1,4.2,0.7,2.4,
2026-04-22_23:19:20,55.0,50.0,56.0,50.0,47.0,56.0,41.0,39.0,35.9,36.9,2683,2036,2800,2799,2800,2632,2800,2800,2800,14.0,0.5,3.4,100.0,1.0,2.0,1.5,2.9,0.5,7.0,4.2,0.7,2.4,
2026-04-22_23:19:22,55.0,50.0,55.0,50.0,45.0,55.0,43.0,39.0,35.9,35.9,2138,1388,2800,2800,760,2800,2800,2800,954,14.2,2.0,2.0,99.5,0.5,5.8,0.5,2.5,1.0,7.1,4.2,0.7,2.4,
2026-04-22_23:19:24,55.0,51.0,54.0,51.0,47.0,55.0,43.0,39.0,36.9,35.9,1829,1297,2800,1300,2800,1152,1886,2800,598,13.8,1.5,1.5,100.0,0.0,5.4,1.0,0.5,0.5,7.1,4.2,0.7,2.4,
2026-04-22_23:19:26,55.0,51.0,56.0,50.0,48.0,56.0,42.0,39.0,35.9,35.9,2739,2490,2800,2800,2800,2622,2800,2800,2800,14.0,2.0,1.0,100.0,2.0,2.9,1.5,2.0,0.5,7.1,4.3,0.7,2.4,
