Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Composite,0","Temp:Sensor1,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:psys,0",Throttle
2026-04-22_23:22:00,48.0,49.0,49.0,45.0,47.0,47.0,42.0,40.0,37.9,38.9,2576,2800,2800,2800,2800,1008,2800,2800,2800,6.5,0.0,52.2,0.0,0.0,0.0,0.0,0.0,0.0,4.6,2.8,0.1,2.4,
2026-04-22_23:22:02,48.0,49.0,48.0,45.0,46.0,47.0,42.0,40.0,36.9,37.9,1953,2257,2224,2536,2800,484,2736,1005,1585,1.0,2.4,0.5,0.5,0.5,1.0,1.4,0.0,1.4,1.8,0.5,0.2,1.8,
2026-04-22_23:22:04,48.0,49.0,49.0,45.0,45.0,47.0,41.0,40.0,37.9,35.9,2019,1168,2800,1640,831,2800,1313,2800,2800,1.4,0.5,2.0,1.0,0.5,2.4,1.0,1.0,2.4,2.4,0.6,0.5,1.9,
2026-04-22_23:22:07,53.0,49.0,51.0,47.0,45.0,51.0,42.0,40.0,36.9,36.9,1652,961,826,2068,1716,701,2800,2800,1344,9.8,3.0,3.4,51.0,4.9,3.4,4.9,2.4,5.0,5.3,2.7,0.8,2.4,
2026-04-22_23:22:09,53.0,49.0,55.0,48.0,45.0,55.0,41.0,39.0,35.9,36.9,2042,825,755,2716,2800,944,2800,2800,2699,13.8,0.0,1.0,100.0,4.4,0.5,1.5,0.0,3.4,7.1,4.3,0.7,2.5,
2026-04-22_23:22:11,53.0,49.0,55.0,48.0,45.0,55.0,43.0,39.0,36.9,35.9,2154,1701,2800,2736,988,610,2800,2800,2800,14.2,3.4,3.9,100.0,3.4,0.5,0.5,0.0,1.5,7.1,4.2,0.7,2.5,
2026-04-22_23:22:13,53.0,49.0,54.0,47.0,45.0,54.0,42.0,39.0,36.9,35.9,1979,1608,550,2786,1714,2800,773,2800,2800,13.8,2.9,0.5,100.0,0.0,0.0,3.4,2.4,1.0,7.1,4.2,0.7,2.6,
2026-04-22_23:22:15,53.0,49.0,52.0,48.0,45.0,52.0,41.0,40.0,35.9,36.9,1753,1381,648,1300,1190,1110,2800,2800,2800,13.8,2.0,2.4,100.0,0.0,1.0,2.9,0.0,2.4,7.1,4.2,0.7,2.6,
2026-04-22_23:22:17,54.0,49.0,55.0,48.0,45.0,55.0,41.0,39.0,36.9,36.9,2490,2377,2800,2784,2800,762,2800,2800,2800,13.7,2.9,2.4,100.0,0.5,0.0,2.9,0.0,1.0,7.1,4.2,0.7,2.6,
2026-04-22_23:22:19,54.0,50.0,55.0,47.0,45.0,55.0,42.0,39.0,36.9,36.9,2400,1999,2800,2775,2326,2800,902,2800,2800,13.8,3.4,2.4,100.0,0.5,0.5,3.4,0.0,0.5,7.1,4.2,0.7,2.5,
2026-04-22_23:22:21,54.0,50.0,52.0,48.0,46.0,52.0,41.0,40.0,35.9,36.9,2116,2059,1369,2335,2002,1763,1798,2800,2800,14.1,2.0,2.9,100.0,1.0,1.0,3.4,1.0,1.5,7.1,4.3,0.7,2.5,
2026-04-22_23:22:23,54.0,50.0,55.0,47.0,46.0,54.0,41.0,39.0,37.9,36.9,2551,2800,2800,2800,2800,815,2800,2800,2800,13.7,1.5,2.4,100.0,1.0,0.5,3.9,0.5,0.0,7.1,4.3,0.7,2.3,
2026-04-22_23:22:25,54.0,50.0,55.0,48.0,45.0,55.0,42.0,39.0,36.9,36.9,2799,2800,2800,2800,2800,2800,2800,2794,2800,14.0,2.4,2.9,100.0,3.9,0.0,1.9,1.0,0.0,7.1,4.3,0.7,2.3,
2026-04-22_23:22:27,53.0,50.0,56.0,47.0,46.0,55.0,42.0,39.0,35.9,36.9,2541,2720,2800,2728,2800,880,2800,2800,2800,14.0,2.5,0.5,99.5,3.4,1.0,3.4,1.5,0.5,7.1,4.2,0.7,2.3,
2026-04-22_23:22:29,54.0,50.0,55.0,48.0,45.0,56.0,41.0,40.0,36.9,35.9,2301,2772,493,2767,1175,2800,2800,2800,2800,14.2,2.9,0.5,100.0,2.9,2.9,3.4,1.4,0.0,7.2,4.3,0.7,2.3,
2026-04-22_23:22:31,54.0,50.0,54.0,48.0,46.0,55.0,42.0,39.0,35.9,36.9,2577,2768,2800,2765,1089,2800,2800,2795,2800,14.2,2.9,2.0,100.0,2.5,2.9,2.9,0.5,0.0,7.2,4.3,0.8,2.3,
2026-04-22_23:22:33,54.0,50.0,55.0,47.0,45.0,56.0,42.0,39.0,38.9,36.9,2182,1905,1134,2656,2800,1607,1757,2800,2800,14.3,2.5,1.9,100.0,2.4,3.9,2.9,0.5,0.5,7.2,4.3,0.8,2.3,
2026-04-22_23:22:35,54.0,50.0,56.0,47.0,45.0,56.0,42.0,39.0,36.9,35.9,1989,2110,612,2799,1424,2800,2800,2800,565,14.2,1.5,2.9,100.0,2.0,3.9,2.0,0.5,0.5,7.1,4.3,0.7,2.3,
2026-04-22_23:22:37,54.0,50.0,55.0,48.0,46.0,55.0,41.0,39.0,36.9,36.9,2649,1694,2800,2700,2800,2800,2800,2803,2800,14.1,2.0,2.9,100.0,0.0,1.5,3.4,0.0,3.0,7.2,4.2,0.8,2.3,
2026-04-22_23:22:39,54.0,50.0,52.0,48.0,46.0,52.0,42.0,39.0,36.9,35.9,1575,1300,559,1523,834,1377,2155,2054,2800,14.6,4.4,4.3,100.0,0.5,2.0,2.4,0.5,2.9,7.2,4.3,0.8,2.3,
2026-04-22_23:22:42,54.0,50.0,56.0,48.0,45.0,56.0,42.0,39.0,35.9,35.9,2783,2736,2800,2730,2800,2800,2800,2800,2800,14.4,2.0,5.3,100.0,0.0,1.9,1.9,1.0,3.4,7.2,4.3,0.7,2.3,
2026-04-22_23:22:44,54.0,50.0,57.0,48.0,45.0,56.0,42.0,39.0,35.9,36.9,2304,2752,2800,2752,557,1172,2800,2800,2800,14.0,2.5,2.9,100.0,0.0,2.0,0.0,2.0,2.5,7.2,4.3,0.7,2.3,
2026-04-22_23:22:46,54.0,50.0,56.0,48.0,47.0,56.0,43.0,41.0,35.9,36.9,2113,2422,776,2799,1670,835,2800,2800,2800,14.1,2.4,1.9,99.5,0.0,2.9,1.0,3.4,2.0,7.2,4.3,0.7,2.3,
2026-04-22_23:22:48,54.0,50.0,54.0,49.0,46.0,54.0,42.0,39.0,37.9,35.9,2298,1441,1583,2411,2800,1750,2800,2800,2800,14.1,1.0,2.9,100.0,0.5,4.9,0.5,2.9,0.0,7.1,4.3,0.7,2.3,
2026-04-22_23:22:50,54.0,50.0,56.0,48.0,50.0,56.0,43.0,39.0,35.9,36.9,2523,1641,2800,2799,2800,1783,2763,2800,2800,14.2,0.5,3.9,100.0,0.0,2.0,1.5,3.4,2.4,7.2,4.3,0.7,2.3,
2026-04-22_23:22:52,54.0,50.0,55.0,48.0,46.0,54.0,42.0,39.0,35.9,35.9,2126,1362,473,2779,1228,2769,2800,2800,2800,14.1,2.0,1.0,100.0,0.5,5.0,0.5,2.5,1.0,7.2,4.3,0.8,2.3,
2026-04-22_23:22:54,54.0,50.0,56.0,48.0,45.0,56.0,43.0,39.0,35.9,35.9,2649,2800,2800,2800,1593,2799,2800,2800,2800,13.8,2.4,0.5,100.0,0.0,4.9,0.0,0.0,2.5,7.1,4.3,0.7,2.3,
2026-04-22_23:22:56,54.0,50.0,54.0,48.0,45.0,55.0,42.0,39.0,35.9,35.9,2500,2800,2800,2800,400,2800,2800,2800,2800,14.2,3.4,3.4,100.0,0.5,3.0,0.0,2.0,1.5,7.2,4.3,0.7,2.3,
2026-04-22_23:22:58,54.0,50.0,54.0,48.0,46.0,54.0,42.0,39.0,35.9,36.9,2170,1512,2800,1664,1288,1700,2800,2800,2800,14.0,1.5,1.0,99.5,0.0,5.8,0.0,3.4,0.5,7.2,4.3,0.7,2.3,
2026-04-22_23:23:00,54.0,50.0,56.0,48.0,47.0,56.0,42.0,40.0,36.9,35.9,2526,2346,2800,2799,1068,2800,2800,2800,2800,14.3,3.9,1.4,100.0,2.4,2.9,1.9,0.0,2.0,7.2,4.3,0.7,2.3,
