Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Composite,0","Temp:Sensor1,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:psys,0",Throttle
2026-04-22_23:28:47,48.0,49.0,48.0,44.0,45.0,48.0,40.0,40.0,38.9,38.9,2080,983,2800,2651,1331,915,2800,2360,2800,7.6,0.0,0.0,0.0,0.0,0.0,0.0,61.1,0.0,5.4,3.6,0.0,2.5,
2026-04-22_23:28:49,48.0,49.0,48.0,45.0,43.0,46.0,41.0,40.0,38.9,36.9,2483,2054,2800,2800,2800,1010,2800,2800,2800,0.6,0.0,0.0,1.0,0.5,0.5,0.5,1.9,0.0,1.7,0.5,0.1,1.6,
2026-04-22_23:28:51,48.0,49.0,48.0,46.0,45.0,48.0,42.0,40.0,37.9,37.9,1052,1243,738,1499,594,1399,399,1553,987,3.4,2.9,3.4,2.5,2.0,5.9,2.9,3.4,3.9,2.9,0.9,0.6,1.9,
2026-04-22_23:28:53,52.0,49.0,52.0,46.0,46.0,52.0,41.0,40.0,36.9,37.9,2033,1111,2800,2716,2800,2725,655,2800,655,14.5,5.3,2.4,96.1,2.4,3.9,2.4,2.0,1.4,7.1,4.1,0.8,2.5,
2026-04-22_23:28:55,53.0,49.0,55.0,46.0,46.0,52.0,42.0,40.0,37.9,36.9,1668,1709,1635,1709,400,1711,2800,2800,579,14.0,0.5,3.4,99.5,1.0,3.4,0.5,1.0,2.5,7.0,4.2,0.7,2.4,
2026-04-22_23:28:58,53.0,49.0,55.0,46.0,45.0,55.0,41.0,40.0,36.9,36.9,2314,1719,2729,2732,617,2319,2800,2800,2800,13.8,0.0,3.5,100.0,0.0,2.9,0.0,2.4,1.5,7.0,4.2,0.7,2.4,
2026-04-22_23:29:00,53.0,49.0,52.0,46.0,46.0,52.0,41.0,40.0,36.9,36.9,1679,764,2017,2755,2800,943,860,2800,495,14.1,1.0,2.9,100.0,0.0,4.4,0.0,2.4,2.4,7.1,4.2,0.7,2.5,
2026-04-22_23:29:02,53.0,49.0,55.0,46.0,45.0,55.0,41.0,40.0,37.9,38.9,2060,828,2589,2800,706,1158,2800,2800,2800,14.3,0.0,4.4,100.0,3.4,2.4,0.0,3.4,1.0,7.2,4.3,0.7,2.5,
2026-04-22_23:29:04,53.0,49.0,54.0,46.0,47.0,54.0,41.0,40.0,37.9,37.9,1763,953,2513,2779,591,1079,589,2800,2800,13.8,0.5,2.9,100.0,2.5,0.0,2.0,2.5,0.0,7.1,4.3,0.7,2.4,
2026-04-22_23:29:06,53.0,49.0,54.0,47.0,47.0,52.0,42.0,40.0,36.9,37.9,2186,1760,2383,2800,778,1369,2800,2800,2800,13.7,0.0,2.9,100.0,2.4,0.0,2.9,1.0,0.5,7.0,4.2,0.7,2.5,
2026-04-22_23:29:08,53.0,49.0,55.0,48.0,47.0,55.0,41.0,40.0,37.9,36.9,1852,756,2012,2162,2015,1475,2800,2554,1038,14.2,1.0,5.3,100.0,1.0,2.4,0.0,2.9,1.0,7.0,4.2,0.7,2.3,
2026-04-22_23:29:10,53.0,49.0,55.0,46.0,46.0,55.0,41.0,40.0,36.9,36.9,2438,1205,2800,2778,1544,2800,2800,2780,2800,13.9,1.0,2.4,99.5,0.0,2.4,2.4,3.4,0.5,7.1,4.3,0.7,2.3,
2026-04-22_23:29:12,53.0,49.0,52.0,47.0,45.0,54.0,42.0,40.0,36.9,37.9,2159,1576,2800,2799,2800,2800,1354,2750,397,14.1,2.4,2.4,100.0,0.0,0.0,2.9,2.9,2.4,7.1,4.3,0.7,2.3,
2026-04-22_23:29:14,53.0,49.0,54.0,48.0,45.0,54.0,42.0,40.0,37.9,36.9,1564,2027,2800,1441,1121,1411,1119,1452,1141,14.1,0.5,0.5,100.0,0.5,0.0,2.4,5.8,2.9,7.1,4.2,0.7,2.3,
2026-04-22_23:29:16,53.0,49.0,54.0,47.0,47.0,54.0,41.0,40.0,36.9,36.9,2349,891,2800,2769,1154,2800,2800,2782,2800,14.5,1.5,2.9,100.0,0.5,1.0,3.4,4.4,2.0,7.1,4.2,0.7,2.3,
2026-04-22_23:29:18,53.0,49.0,55.0,47.0,46.0,54.0,41.0,40.0,36.9,37.9,2336,1156,2800,2800,2800,2800,2800,2799,733,14.3,1.5,1.9,100.0,1.0,2.5,2.4,2.9,2.0,7.1,4.2,0.7,2.3,
2026-04-22_23:29:20,53.0,49.0,55.0,47.0,45.0,55.0,42.0,40.0,37.9,36.9,2070,1444,2800,2800,2800,2800,720,2800,400,14.2,1.5,2.4,100.0,2.0,3.9,0.5,2.9,0.5,7.1,4.3,0.7,2.3,
2026-04-22_23:29:22,53.0,49.0,52.0,47.0,46.0,52.0,41.0,40.0,36.9,36.9,2146,727,2800,2799,2800,1128,1318,2800,2800,14.5,1.0,1.0,100.0,2.4,2.0,4.4,3.9,1.0,7.1,4.2,0.7,2.3,
2026-04-22_23:29:24,53.0,49.0,55.0,47.0,46.0,55.0,41.0,40.0,36.9,37.9,2459,2123,2800,2800,2800,752,2800,2799,2800,14.1,1.0,2.4,100.0,0.0,2.9,1.0,3.9,1.5,7.1,4.2,0.7,2.3,
2026-04-22_23:29:26,53.0,49.0,55.0,47.0,46.0,54.0,41.0,41.0,37.9,36.9,2663,1707,2800,2800,2800,2800,2800,2800,2800,14.1,0.5,0.5,99.5,1.0,2.9,3.8,2.9,1.5,7.1,4.3,0.7,2.3,
2026-04-22_23:29:29,54.0,49.0,56.0,47.0,45.0,56.0,42.0,41.0,36.9,36.9,2433,860,2800,2799,1809,2800,2800,2800,2800,14.8,2.9,4.9,100.0,1.0,1.4,2.0,4.4,1.5,7.2,4.4,0.7,2.3,
2026-04-22_23:29:31,53.0,49.0,55.0,47.0,45.0,55.0,41.0,41.0,36.9,36.9,2135,1039,2800,2800,1367,1074,2800,2400,2800,14.7,1.5,5.3,100.0,0.0,0.5,2.9,4.4,2.9,7.2,4.3,0.7,2.3,
2026-04-22_23:29:33,53.0,49.0,51.0,47.0,46.0,52.0,41.0,40.0,36.9,36.9,1946,1289,2800,2800,631,700,2051,2495,2800,14.4,3.4,2.4,100.0,2.4,0.5,2.0,3.9,0.5,7.1,4.3,0.7,2.3,
2026-04-22_23:29:35,53.0,49.0,54.0,48.0,45.0,54.0,42.0,40.0,36.9,35.9,1520,394,2800,1218,1161,2800,1891,1231,667,14.2,2.0,2.9,100.0,1.0,0.5,2.4,3.4,1.5,7.1,4.3,0.7,2.3,
2026-04-22_23:29:37,53.0,50.0,54.0,48.0,46.0,55.0,42.0,40.0,37.9,35.9,2092,1391,1016,2799,2055,1074,2800,2800,2800,14.3,2.0,0.5,100.0,4.3,0.0,1.9,3.9,1.5,7.1,4.3,0.7,2.3,
2026-04-22_23:29:39,53.0,49.0,54.0,47.0,47.0,55.0,42.0,40.0,35.9,36.9,1852,2800,1133,2800,1169,622,692,2800,2800,14.1,3.9,1.5,100.0,1.0,0.5,1.0,4.4,0.5,7.1,4.3,0.7,2.3,
2026-04-22_23:29:41,53.0,49.0,51.0,47.0,45.0,51.0,42.0,40.0,36.9,35.9,1297,897,2800,1318,1884,890,606,1321,663,14.7,4.4,1.5,100.0,3.4,0.5,1.5,3.9,2.0,7.1,4.2,0.7,2.3,
2026-04-22_23:29:43,54.0,50.0,54.0,48.0,45.0,54.0,42.0,40.0,35.9,35.9,2631,2124,2800,2800,2800,2131,2800,2799,2800,14.3,3.4,1.0,100.0,1.9,0.0,1.5,4.9,1.9,7.1,4.3,0.7,2.3,
2026-04-22_23:29:45,54.0,50.0,55.0,48.0,46.0,55.0,41.0,40.0,35.9,35.9,2649,1598,2800,2800,2800,2800,2800,2800,2800,14.3,2.0,2.4,99.5,4.9,1.0,1.0,3.4,0.5,7.1,4.3,0.7,2.3,
2026-04-22_23:29:47,53.0,50.0,54.0,46.0,45.0,55.0,41.0,40.0,35.9,35.9,2338,789,2800,2775,1567,2373,2800,2800,2800,14.1,0.5,2.5,100.0,2.0,3.5,0.5,3.4,0.0,7.1,4.3,0.7,2.3,
2026-04-22_23:29:49,54.0,49.0,52.0,48.0,47.0,54.0,43.0,40.0,35.9,35.9,1941,2630,1200,1199,902,1199,2800,2800,2800,14.0,2.4,2.0,100.0,2.9,3.4,0.0,0.0,1.0,7.1,4.3,0.7,2.3,
2026-04-22_23:29:51,53.0,50.0,55.0,48.0,46.0,54.0,42.0,40.0,35.9,35.9,2266,1470,2495,2756,1465,1546,2800,2800,2800,14.2,3.5,3.9,100.0,3.4,2.0,1.0,0.0,0.0,7.2,4.4,0.7,2.3,
2026-04-22_23:29:53,54.0,50.0,54.0,47.0,47.0,54.0,42.0,40.0,36.9,36.9,2092,1336,2752,2747,974,2800,2800,2772,558,14.3,4.4,2.4,100.0,3.4,1.0,1.9,0.5,1.0,7.1,4.2,0.7,2.3,
2026-04-22_23:29:55,53.0,50.0,55.0,48.0,47.0,55.0,42.0,40.0,36.9,36.9,1730,506,1242,1240,1364,2800,2800,2800,1088,14.1,3.9,2.0,100.0,1.5,0.5,1.5,1.5,1.5,7.1,4.3,0.7,2.3,
2026-04-22_23:29:57,54.0,50.0,55.0,48.0,46.0,55.0,42.0,40.0,36.9,35.9,2495,755,2410,2796,2800,2800,2800,2800,2800,14.2,1.0,3.4,100.0,1.0,0.5,1.9,2.9,2.9,7.1,4.3,0.7,2.3,
2026-04-22_23:29:59,54.0,49.0,55.0,48.0,45.0,54.0,42.0,40.0,35.9,36.9,2085,848,2800,2645,1387,602,2800,2799,2800,14.0,1.5,2.4,99.5,1.0,1.0,0.5,2.9,2.9,7.1,4.3,0.7,2.3,
2026-04-22_23:30:02,53.0,49.0,54.0,48.0,47.0,54.0,42.0,40.0,36.9,35.9,2503,1884,2729,2736,2800,2800,2800,1474,2800,14.5,2.0,6.4,100.0,0.0,0.0,2.0,4.3,1.5,7.2,4.3,0.8,2.3,
2026-04-22_23:30:04,53.0,50.0,55.0,48.0,47.0,55.0,42.0,40.0,35.9,35.9,2102,847,2800,2800,1094,2800,873,2800,2800,14.3,1.5,5.4,100.0,1.9,0.5,1.5,2.9,0.5,7.1,4.3,0.7,2.3,
2026-04-22_23:30:06,54.0,50.0,54.0,48.0,47.0,55.0,42.0,40.0,35.9,36.9,2562,900,2799,2800,2800,2800,2800,2800,2800,14.0,1.5,4.9,100.0,0.0,2.0,3.4,0.5,0.0,7.1,4.3,0.7,2.3,
2026-04-22_23:30:08,54.0,50.0,55.0,48.0,47.0,55.0,42.0,40.0,35.9,36.9,2379,2422,2651,2725,2800,2800,2800,2097,742,14.2,0.5,2.9,100.0,2.9,0.5,2.0,4.4,0.5,7.1,4.2,0.7,2.3,
2026-04-22_23:30:10,54.0,50.0,52.0,48.0,46.0,52.0,42.0,40.0,36.9,35.9,1784,629,2707,2772,1360,2800,684,2659,661,14.4,0.5,2.9,100.0,2.4,0.5,2.9,4.4,1.5,7.1,4.2,0.7,2.3,
2026-04-22_23:30:12,54.0,50.0,55.0,47.0,47.0,56.0,42.0,39.0,35.9,37.9,2047,962,1874,1092,1517,2800,2800,2533,2800,14.4,0.5,2.9,100.0,2.9,4.9,0.5,3.8,0.0,7.2,4.3,0.7,2.3,
2026-04-22_23:30:14,54.0,50.0,55.0,48.0,47.0,55.0,42.0,40.0,37.9,35.9,2500,2800,2599,2800,2800,606,2800,2800,2800,14.1,0.0,1.0,99.5,2.9,3.9,1.5,3.4,0.5,7.1,4.3,0.7,2.3,
2026-04-22_23:30:16,53.0,50.0,54.0,48.0,47.0,54.0,42.0,40.0,35.9,35.9,2312,852,2800,2800,2800,2800,2800,2800,844,14.2,0.5,3.4,100.0,1.0,1.0,1.5,5.4,0.5,7.1,4.2,0.7,2.3,
