Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Composite,0","Temp:Sensor1,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:psys,0",Throttle
2026-04-23_11:45:13,47.0,46.0,46.0,44.0,42.0,46.0,39.0,40.0,37.9,37.9,1543,1216,1299,1300,753,2800,1316,863,2800,14.6,8.0,23.1,12.5,7.7,3.8,12.0,46.2,3.8,8.8,3.1,2.8,3.2,
2026-04-23_11:45:15,45.0,46.0,45.0,43.0,41.0,44.0,38.0,40.0,38.9,36.9,2337,1552,2800,2800,2800,2236,2800,2800,912,2.1,1.9,1.9,5.2,0.9,1.0,1.9,2.8,0.9,2.8,0.7,0.6,1.9,
2026-04-23_11:45:17,45.0,46.0,45.0,41.0,41.0,43.0,38.0,40.0,35.9,35.9,1982,1404,2800,2800,2800,2638,1295,766,1350,1.2,1.0,1.5,1.0,1.0,2.4,0.5,1.5,0.5,3.9,0.6,0.3,1.8,
2026-04-23_11:45:19,49.0,46.0,48.0,44.0,42.0,48.0,38.0,40.0,35.9,35.9,1836,1299,2800,1300,1315,1299,2482,1389,2800,11.7,2.9,1.5,65.9,4.9,4.4,6.8,4.4,2.9,6.0,3.2,0.8,2.4,
2026-04-23_11:45:22,50.0,46.0,50.0,45.0,42.0,51.0,38.0,40.0,35.9,35.9,2345,1538,1725,2799,2800,2496,2444,2159,2800,13.8,1.0,1.0,100.0,2.4,1.5,2.0,2.4,0.0,6.8,4.0,0.7,2.5,
2026-04-23_11:45:24,50.0,46.0,51.0,45.0,42.0,51.0,39.0,40.0,35.9,36.9,2332,1083,2800,2800,2800,2800,775,2800,2800,13.8,0.5,2.9,100.0,1.5,2.4,1.9,1.5,0.0,6.8,4.0,0.8,2.5,
2026-04-23_11:45:26,50.0,47.0,49.0,45.0,41.0,49.0,39.0,40.0,36.9,36.9,2106,1600,2800,1600,1862,1211,2301,2675,2800,13.9,2.0,0.0,100.0,3.4,1.5,2.0,2.4,0.0,6.9,4.0,0.7,2.5,
2026-04-23_11:45:28,50.0,46.0,51.0,44.0,42.0,51.0,38.0,40.0,36.9,35.9,2609,1643,2800,2800,2800,2434,2800,2800,2800,13.9,1.0,0.0,100.0,3.9,1.5,1.5,2.9,0.5,6.8,4.0,0.8,2.5,
2026-04-23_11:45:30,51.0,47.0,50.0,44.0,42.0,50.0,38.0,40.0,35.9,35.9,2618,1620,2800,2800,2800,2527,2800,2800,2800,14.3,2.0,1.0,100.0,2.9,2.9,2.4,2.4,0.5,6.8,4.1,0.7,2.5,
2026-04-23_11:45:32,51.0,47.0,49.0,45.0,42.0,49.0,39.0,40.0,35.9,35.9,1606,1028,842,2800,1363,2682,1246,2066,821,14.2,0.0,1.0,100.0,3.4,3.9,0.5,3.4,1.0,6.8,4.1,0.7,2.4,
2026-04-23_11:45:34,51.0,47.0,52.0,46.0,43.0,52.0,41.0,40.0,35.9,35.9,2799,2800,2800,2800,2800,2799,2800,2800,2800,14.1,0.5,0.5,100.0,2.0,5.3,0.5,3.4,0.5,6.9,4.1,0.7,2.4,
2026-04-23_11:45:36,51.0,48.0,52.0,46.0,42.0,52.0,39.0,40.0,35.9,35.9,2206,1120,512,2799,2800,2800,2018,2800,2800,13.7,0.0,2.0,100.0,2.0,1.0,0.5,4.4,0.0,6.9,4.1,0.7,2.3,
2026-04-23_11:45:38,51.0,48.0,51.0,45.0,45.0,51.0,41.0,40.0,35.9,35.9,2725,2402,2800,2800,2800,2683,2724,2793,2800,14.0,0.5,1.5,100.0,1.0,2.0,0.5,5.3,1.5,6.9,4.2,0.7,2.3,
2026-04-23_11:45:40,52.0,48.0,51.0,46.0,45.0,50.0,41.0,40.0,35.9,35.9,1668,1407,566,1470,2003,1467,835,2800,2800,14.3,2.4,3.9,100.0,2.4,1.0,1.5,0.0,2.9,7.0,4.2,0.7,2.3,
2026-04-23_11:45:42,52.0,48.0,54.0,46.0,43.0,54.0,41.0,40.0,35.9,35.9,2456,1378,2800,2800,2800,2800,1474,2800,2800,13.8,2.5,2.0,100.0,2.4,2.0,0.0,1.9,0.0,6.9,4.1,0.7,2.3,
2026-04-23_11:45:44,52.0,48.0,55.0,46.0,43.0,55.0,41.0,40.0,35.9,36.9,2397,1812,2800,2800,2800,1042,2800,2800,2326,14.0,0.5,0.5,100.0,2.9,2.0,0.5,2.9,2.4,6.9,4.1,0.7,2.4,
2026-04-23_11:45:46,53.0,49.0,50.0,46.0,45.0,51.0,41.0,40.0,36.9,35.9,1332,1300,466,1300,1509,1300,584,1400,2800,14.0,2.0,2.4,100.0,1.9,1.9,0.5,2.0,1.0,6.9,4.1,0.7,2.3,
2026-04-23_11:45:48,53.0,49.0,55.0,46.0,45.0,54.0,41.0,40.0,35.9,35.9,2716,2484,2800,2800,2800,2447,2800,2800,2800,13.9,0.0,4.3,100.0,2.4,3.9,0.5,0.0,0.5,6.9,4.1,0.7,2.3,
2026-04-23_11:45:50,53.0,49.0,52.0,46.0,45.0,55.0,41.0,40.0,35.9,36.9,2309,2800,2800,2800,2800,1059,620,2800,2800,14.0,3.4,3.4,100.0,2.4,2.0,0.0,0.5,0.5,7.0,4.2,0.7,2.4,
2026-04-23_11:45:52,53.0,49.0,52.0,47.0,45.0,52.0,42.0,39.0,35.9,35.9,1613,2681,602,2688,884,1486,1082,2800,682,14.2,2.0,3.4,100.0,2.9,3.8,1.0,0.0,0.5,7.0,4.2,0.7,2.3,
2026-04-23_11:45:54,53.0,49.0,55.0,47.0,45.0,55.0,42.0,40.0,35.9,35.9,2610,2440,2800,2771,2800,2800,1671,2800,2800,13.8,2.0,2.9,100.0,2.4,2.4,0.0,0.0,0.5,6.9,4.2,0.7,2.3,
2026-04-23_11:45:57,53.0,49.0,55.0,48.0,45.0,55.0,41.0,40.0,35.9,35.9,2580,2800,2800,2800,2800,1042,2800,2800,2800,13.9,1.0,3.4,100.0,2.5,2.5,0.5,0.5,1.0,6.9,4.2,0.7,2.3,
2026-04-23_11:45:59,54.0,50.0,54.0,47.0,45.0,54.0,42.0,40.0,35.9,35.9,2471,2800,2800,2800,2800,2800,1567,1406,2800,13.9,2.5,2.4,100.0,3.9,1.5,0.5,0.5,0.0,7.0,4.2,0.7,2.3,
2026-04-23_11:46:01,54.0,50.0,55.0,48.0,46.0,55.0,42.0,40.0,35.9,35.9,2702,2707,2800,2799,2800,2109,2800,2800,2800,14.2,2.5,2.9,100.0,3.4,2.9,0.5,1.0,0.0,7.0,4.2,0.7,2.4,
2026-04-23_11:46:03,54.0,50.0,55.0,48.0,47.0,54.0,42.0,40.0,35.9,35.9,2585,1582,2800,2800,2800,2800,2302,2800,2800,14.2,1.0,2.5,100.0,4.3,2.9,1.5,0.5,0.5,7.0,4.2,0.7,2.3,
2026-04-23_11:46:05,54.0,50.0,55.0,48.0,46.0,55.0,42.0,40.0,35.9,35.9,2457,2207,2800,2800,2800,2800,2800,2800,652,14.2,2.5,3.4,100.0,2.0,0.0,2.4,2.9,0.5,7.1,4.2,0.8,2.3,
2026-04-23_11:46:07,54.0,50.0,54.0,48.0,47.0,54.0,43.0,39.0,35.9,35.9,1721,1450,772,2799,717,2800,1304,2800,1123,13.9,1.5,2.4,100.0,0.0,0.0,3.4,3.4,0.5,7.1,4.2,0.8,2.3,
2026-04-23_11:46:09,54.0,51.0,56.0,50.0,46.0,56.0,41.0,39.0,35.9,35.9,2617,2401,2800,2800,2800,2800,2800,1736,2800,14.1,1.5,2.9,100.0,2.0,1.0,4.3,0.0,1.0,7.1,4.2,0.8,2.4,
2026-04-23_11:46:11,54.0,50.0,55.0,51.0,47.0,56.0,43.0,40.0,35.9,35.9,2337,1573,704,2800,2800,2800,2800,2800,2419,14.3,2.4,1.5,100.0,1.5,1.0,3.9,1.5,2.4,7.2,4.3,0.7,2.4,
2026-04-23_11:46:13,54.0,51.0,55.0,48.0,47.0,56.0,42.0,39.0,35.9,35.9,1891,1629,1382,2800,2053,2800,1608,2268,588,14.1,0.5,2.9,99.5,2.4,0.5,3.4,1.5,2.4,7.2,4.2,0.8,2.4,
2026-04-23_11:46:15,55.0,51.0,55.0,50.0,47.0,55.0,43.0,39.0,35.9,35.9,2288,2800,2342,2688,2673,763,1441,2800,2800,14.3,0.5,3.4,100.0,1.5,1.4,2.4,3.9,1.0,7.1,4.2,0.8,2.3,
2026-04-23_11:46:17,55.0,51.0,56.0,50.0,47.0,57.0,44.0,40.0,35.9,35.9,2162,1015,2800,2799,2800,1103,1181,2800,2800,13.9,0.0,2.5,100.0,2.0,0.0,3.4,1.0,2.5,7.1,4.2,0.7,2.4,
2026-04-23_11:46:19,55.0,51.0,54.0,50.0,47.0,54.0,43.0,40.0,35.9,35.9,1875,738,2800,2751,1770,889,730,2782,2542,14.2,2.9,2.4,100.0,1.5,0.0,2.0,4.8,0.0,7.1,4.2,0.8,2.4,
2026-04-23_11:46:21,55.0,51.0,55.0,50.0,47.0,55.0,44.0,40.0,35.9,35.9,2401,1608,2800,2772,2776,846,2800,2800,2806,14.0,0.5,2.0,100.0,2.9,0.0,2.5,3.9,0.0,7.1,4.2,0.7,2.4,
2026-04-23_11:46:23,55.0,51.0,56.0,50.0,47.0,56.0,43.0,39.0,35.9,35.9,2251,681,2058,2800,2800,2800,1910,2160,2800,14.3,1.9,2.9,100.0,2.0,1.0,2.0,3.9,0.5,7.1,4.2,0.8,2.4,
2026-04-23_11:46:25,55.0,52.0,55.0,50.0,47.0,54.0,45.0,40.0,35.9,35.9,2303,1387,2800,2499,2500,2800,837,2800,2800,13.9,1.0,3.4,100.0,1.9,0.0,4.3,1.0,0.0,7.1,4.2,0.7,2.3,
