Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Composite,0","Temp:Sensor1,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:psys,0",Throttle
2026-04-22_22:55:05,49.0,49.0,49.0,46.0,45.0,46.0,41.0,41.0,39.9,39.9,2233,2800,1383,1313,2800,2193,2800,2800,1774,6.0,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,2.8,0.0,2.3,
2026-04-22_22:55:07,48.0,49.0,48.0,46.0,46.0,46.0,39.0,40.0,38.9,38.9,1917,2285,2185,1226,2800,980,1018,2044,2800,4.6,7.9,1.5,3.5,3.9,3.4,4.3,5.4,6.8,3.8,1.2,0.7,2.1,
2026-04-22_22:55:09,48.0,49.0,47.0,44.0,44.0,47.0,40.0,40.0,39.9,38.9,2338,2741,1164,2800,2800,804,2800,2800,2800,0.7,1.5,0.0,1.0,0.5,0.0,1.9,0.5,0.5,2.0,0.5,0.2,1.7,
2026-04-22_22:55:11,48.0,49.0,48.0,44.0,43.0,46.0,41.0,40.0,37.9,37.9,1589,2800,2800,818,1257,2800,618,799,818,0.8,1.5,1.9,0.5,0.0,0.5,0.0,1.5,0.5,2.2,0.6,0.2,1.7,
2026-04-22_22:55:13,48.0,49.0,48.0,46.0,45.0,47.0,41.0,41.0,38.9,38.9,1527,2800,2314,589,927,1381,1075,1938,1192,6.8,6.9,5.9,6.4,5.8,6.3,5.3,8.3,9.2,4.2,1.5,0.6,2.1,
2026-04-22_22:55:15,48.0,49.0,48.0,44.0,43.0,47.0,41.0,40.0,38.9,38.9,1610,1773,1417,436,653,2173,2800,2800,829,4.5,6.4,4.4,3.4,3.9,6.3,3.0,5.4,3.0,4.2,1.3,0.8,2.1,
2026-04-22_22:56:13,49.0,50.0,50.0,45.0,47.0,47.0,42.0,41.0,39.9,40.9,2652,2800,1623,2800,2800,2800,2800,2800,2800,7.0,0.0,34.8,4.2,0.0,17.4,0.0,0.0,0.0,4.4,2.6,0.0,2.2,
2026-04-22_22:56:15,49.0,50.0,49.0,45.0,44.0,47.0,41.0,41.0,38.9,39.9,2680,2251,2800,2800,2800,2394,2800,2800,2800,0.6,0.5,0.5,0.0,0.0,1.9,0.0,1.0,0.5,6.4,0.5,0.2,1.7,
2026-04-22_22:56:17,49.0,49.0,49.0,45.0,45.0,46.0,41.0,40.0,39.9,37.9,2238,2562,1627,2800,1289,2799,2800,2800,1229,0.4,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.6,0.5,0.1,1.6,
2026-04-22_22:56:19,49.0,49.0,49.0,45.0,46.0,46.0,41.0,40.0,37.9,37.9,2116,1717,1047,2800,2800,2678,1205,2800,1884,1.2,1.5,0.5,1.0,1.5,1.5,0.5,2.5,1.0,5.4,0.7,0.3,1.8,
2026-04-22_23:03:55,50.0,50.0,50.0,46.0,46.0,48.0,43.0,41.0,39.9,39.9,2284,2319,1144,2800,2322,1290,2800,2800,2800,7.3,4.2,0.0,0.0,54.5,0.0,0.0,0.0,0.0,4.8,3.0,0.0,2.3,
