Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Composite,0","Temp:Sensor1,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:psys,0",Throttle
2026-04-23_03:44:33,49.0,50.0,49.0,47.0,46.0,49.0,41.0,38.0,37.9,37.9,2442,1702,2800,2800,2800,2800,1537,2800,2298,7.5,0.0,0.0,0.0,0.0,0.0,0.0,45.0,15.0,5.6,3.6,0.0,2.7,
2026-04-23_03:44:35,49.0,50.0,49.0,46.0,45.0,47.0,42.0,38.0,37.9,35.9,2395,2800,2800,2800,2800,2800,980,1580,2604,1.4,1.5,0.5,0.0,1.5,1.0,2.9,1.0,2.9,2.2,0.6,0.3,1.9,
2026-04-23_03:44:38,54.0,50.0,55.0,48.0,45.0,52.0,42.0,38.0,37.9,35.9,1557,661,453,1500,2800,1531,1287,2722,1500,13.9,2.5,4.9,80.7,6.4,7.8,2.4,2.4,4.4,6.8,3.7,0.9,2.6,
2026-04-23_03:44:40,55.0,50.0,55.0,48.0,47.0,56.0,41.0,38.0,35.9,35.9,2303,1343,2800,2799,2800,2800,562,2800,2526,13.8,0.5,3.9,100.0,0.5,1.9,0.0,2.4,1.5,6.8,4.0,0.7,2.6,
2026-04-23_03:44:42,55.0,50.0,54.0,48.0,46.0,55.0,43.0,38.0,35.9,36.9,2205,1093,2800,2800,2800,2800,578,2059,2711,13.8,0.0,4.4,100.0,1.5,1.5,1.0,0.5,1.5,6.9,4.1,0.7,2.6,
2026-04-23_03:44:44,55.0,50.0,56.0,48.0,47.0,56.0,42.0,39.0,37.9,35.9,1847,1313,1686,2800,635,2800,867,2800,1881,14.1,0.5,4.9,100.0,1.5,0.0,0.5,1.9,3.4,6.9,4.1,0.7,2.6,
2026-04-23_03:44:46,55.0,50.0,56.0,48.0,47.0,55.0,43.0,38.0,35.9,35.9,2381,1548,2800,2799,2800,2800,700,2800,2800,13.7,0.0,3.9,100.0,1.0,0.0,0.5,1.5,2.9,7.0,4.1,0.7,2.6,
2026-04-23_03:44:48,55.0,50.0,54.0,48.0,47.0,56.0,42.0,38.0,35.9,35.9,2158,1287,1135,2800,2800,1180,2800,2463,2800,14.1,0.5,5.3,100.0,1.0,1.0,2.0,1.0,1.9,7.0,4.2,0.7,2.6,
2026-04-23_03:44:50,55.0,50.0,56.0,48.0,46.0,56.0,44.0,38.0,35.9,35.9,2165,2738,1486,2685,2800,2800,1195,2387,1227,13.8,1.5,3.9,100.0,0.0,1.0,0.0,2.0,2.0,6.9,4.2,0.7,2.6,
2026-04-23_03:44:52,55.0,50.0,56.0,48.0,47.0,56.0,42.0,38.0,35.9,37.9,2234,657,2800,2800,2800,2800,768,2800,2453,14.0,1.0,3.9,100.0,1.5,1.0,1.0,2.4,1.5,6.9,4.1,0.7,2.4,
