Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Composite,0","Temp:Sensor1,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:psys,0",Throttle
2026-04-23_09:45:41,46.0,47.0,47.0,44.0,45.0,46.0,44.0,34.0,33.9,33.9,911,400,2618,504,400,400,2172,400,400,6.2,0.0,0.0,0.0,0.0,5.6,0.0,0.0,44.4,7.6,5.6,0.0,2.5,
2026-04-23_09:45:43,46.0,48.0,46.0,44.0,45.0,45.0,39.0,34.0,33.9,34.9,877,1080,400,400,400,400,2923,400,1017,8.0,7.8,7.8,6.8,8.2,11.1,8.3,5.4,8.7,4.3,1.8,0.6,1.8,
2026-04-23_09:45:46,52.0,48.0,47.0,43.0,43.0,46.0,38.0,34.0,34.9,34.9,474,399,400,400,400,400,999,400,400,4.7,3.9,5.9,3.0,4.4,2.9,2.5,10.8,3.9,4.5,2.5,0.3,1.7,
2026-04-23_09:45:48,47.0,48.0,47.0,46.0,43.0,47.0,42.0,37.0,34.9,34.9,1231,1630,399,1564,1886,883,1528,555,1403,8.0,10.7,5.5,7.8,9.2,9.0,6.4,5.9,9.2,5.5,2.1,1.1,2.0,
2026-04-23_09:45:50,47.0,48.0,47.0,43.0,42.0,44.0,41.0,34.0,35.9,35.9,724,399,400,625,2607,400,565,400,400,11.1,8.0,9.7,8.3,16.9,9.6,10.3,8.5,17.2,6.1,2.5,1.3,2.2,
2026-04-23_09:45:52,51.0,48.0,51.0,46.0,43.0,51.0,41.0,34.0,35.9,35.9,1848,2151,928,1600,400,2800,2800,2800,1309,13.2,3.9,3.4,81.5,4.4,2.9,3.4,3.9,2.4,6.7,3.8,0.8,2.1,
2026-04-23_09:45:54,51.0,48.0,54.0,46.0,43.0,52.0,41.0,34.0,35.9,34.9,2476,538,2519,2752,2800,2800,2800,2800,2800,14.1,2.4,1.0,100.0,2.0,0.0,3.9,2.9,0.5,6.9,4.1,0.7,2.1,
2026-04-23_09:45:56,52.0,48.0,54.0,46.0,45.0,52.0,41.0,34.0,34.9,35.9,2424,1647,2593,2799,2800,1155,2800,2800,2800,13.6,0.5,1.5,100.0,2.0,0.0,2.0,2.9,0.0,7.0,4.1,0.7,2.1,
2026-04-23_09:45:58,51.0,48.0,51.0,46.0,43.0,51.0,41.0,34.0,35.9,34.9,1491,952,1100,1332,722,2800,2800,1310,917,13.7,0.5,1.0,100.0,1.9,0.0,0.5,2.4,2.9,6.9,4.1,0.7,2.0,
2026-04-23_09:46:00,52.0,49.0,52.0,46.0,45.0,52.0,41.0,34.0,34.9,34.9,2523,848,2540,2799,2800,2800,2800,2800,2800,13.7,1.5,1.5,99.5,0.5,0.0,1.0,2.0,3.9,7.0,4.2,0.8,2.1,
2026-04-23_09:46:02,52.0,49.0,54.0,46.0,45.0,52.0,41.0,34.0,34.9,34.9,2021,861,2744,2800,1157,2099,911,2800,2800,13.5,0.0,1.5,100.0,0.0,1.9,0.0,1.5,3.4,7.0,4.2,0.7,2.1,
2026-04-23_09:46:04,52.0,49.0,51.0,46.0,45.0,51.0,41.0,34.0,34.9,34.9,1906,1766,2113,2656,1845,828,723,2800,2517,13.8,1.5,1.0,100.0,1.9,0.0,0.5,2.4,2.9,7.0,4.3,0.7,2.0,
2026-04-23_09:46:06,53.0,49.0,54.0,48.0,45.0,54.0,41.0,34.0,34.9,34.9,2750,2427,2776,2800,2800,2800,2800,2800,2800,13.8,1.9,1.0,100.0,1.4,1.0,1.0,1.0,2.9,7.0,4.3,0.7,2.0,
2026-04-23_09:46:08,53.0,50.0,54.0,46.0,45.0,54.0,42.0,34.0,34.9,34.9,2259,1015,2800,2800,2165,2800,898,2800,2800,13.6,3.4,1.0,100.0,2.0,1.0,0.0,0.0,1.0,7.0,4.3,0.7,1.9,
2026-04-23_09:46:10,53.0,50.0,54.0,48.0,45.0,54.0,42.0,34.0,35.9,34.9,2246,629,641,2800,2800,2800,2800,2800,2697,13.7,3.9,0.5,100.0,2.0,1.0,0.0,0.0,2.0,7.1,4.3,0.7,1.9,
2026-04-23_09:46:12,53.0,50.0,51.0,46.0,45.0,51.0,42.0,34.0,34.9,34.9,1812,778,2800,1335,1768,2563,1143,2800,1314,13.9,0.5,1.9,100.0,0.5,0.0,0.5,4.4,3.4,7.0,4.3,0.7,1.9,
2026-04-23_09:46:14,53.0,50.0,54.0,47.0,47.0,55.0,43.0,34.0,35.9,34.9,2359,1164,1050,2738,2800,2800,2722,2800,2800,13.5,0.5,0.0,100.0,1.5,0.5,1.5,1.5,2.5,7.1,4.3,0.7,1.9,
2026-04-23_09:46:16,53.0,50.0,54.0,47.0,46.0,54.0,42.0,34.0,34.9,35.9,2030,860,763,2728,2800,2146,2800,2800,1349,13.7,3.9,0.0,100.0,1.0,1.5,1.0,1.9,0.5,7.1,4.2,0.8,1.9,
2026-04-23_09:46:18,53.0,50.0,53.0,47.0,47.0,54.0,42.0,34.0,34.9,34.9,2290,550,2800,2799,2800,2800,1035,2800,2735,13.8,3.4,0.0,100.0,0.5,0.5,2.4,2.4,1.5,7.2,4.3,0.8,2.0,
2026-04-23_09:46:21,53.0,50.0,55.0,48.0,46.0,54.0,43.0,34.0,37.9,38.9,2113,483,2800,2800,1801,1456,2800,2042,2727,13.7,1.5,0.5,100.0,1.9,2.0,0.5,0.0,2.9,7.2,4.3,0.8,2.0,
2026-04-23_09:46:23,54.0,50.0,55.0,47.0,46.0,53.0,43.0,34.0,35.9,36.9,1959,1796,584,2800,2800,2800,1324,2025,1547,13.7,2.9,0.5,100.0,0.0,1.9,2.9,0.0,1.5,7.2,4.3,0.8,1.9,
2026-04-23_09:46:25,54.0,50.0,52.0,48.0,45.0,52.0,43.0,34.0,36.9,35.9,1824,1396,2800,2636,996,2206,1116,2237,1207,13.6,3.0,0.5,100.0,0.5,2.0,0.0,0.0,2.9,7.2,4.3,0.8,2.0,
2026-04-23_09:46:27,54.0,51.0,55.0,50.0,47.0,55.0,43.0,34.0,35.9,35.9,2533,2528,2800,2799,2800,2800,941,2800,2800,13.7,3.9,1.0,100.0,0.5,1.5,0.5,0.0,2.0,7.1,4.3,0.7,1.9,
2026-04-23_09:46:29,53.0,51.0,54.0,50.0,47.0,54.0,44.0,34.0,35.9,35.9,2155,1747,528,2800,1469,2800,2800,2302,2800,14.1,5.0,2.0,100.0,0.0,1.5,0.5,1.5,2.6,7.6,4.4,0.9,2.0,
2026-04-23_09:46:31,54.0,51.0,53.0,48.0,47.0,54.0,44.0,34.0,35.9,35.9,1516,1114,400,1500,2800,2800,745,2136,635,14.8,7.4,4.5,100.0,0.0,2.0,1.5,1.5,1.5,7.8,4.3,1.1,2.1,
2026-04-23_09:46:33,54.0,51.0,55.0,50.0,47.0,56.0,43.0,34.0,35.9,35.9,2693,2268,2480,2800,2800,2800,2800,2800,2800,14.6,6.3,1.5,100.0,1.9,0.0,1.9,2.9,2.0,7.3,4.3,0.8,2.0,
2026-04-23_09:46:35,54.0,51.0,56.0,50.0,47.0,55.0,42.0,34.0,35.9,35.9,2780,2647,2800,2800,2800,2800,2800,2800,2800,13.8,1.5,0.5,99.5,1.0,0.5,2.0,4.4,1.0,7.3,4.3,0.8,2.0,
2026-04-23_09:46:37,55.0,51.0,55.0,51.0,47.0,54.0,44.0,34.0,35.9,35.9,2335,1696,2470,2800,2800,2800,516,2800,2800,13.7,0.5,0.0,100.0,0.5,2.4,2.4,3.4,0.5,7.1,4.2,0.8,1.9,
