Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Composite,0","Temp:Sensor1,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:psys,0",Throttle
2026-04-26_20:26:11,45.0,47.0,46.0,46.0,42.0,46.0,38.0,39.0,35.9,35.9,1201,4141,659,400,1245,1966,400,400,400,6.6,0.0,0.0,0.0,0.0,52.9,0.0,0.0,0.0,7.8,5.8,0.0,2.9,
2026-04-26_20:26:13,46.0,46.0,50.0,44.0,42.0,50.0,38.0,39.0,37.9,37.9,2115,1458,2800,2800,1095,2553,2800,2800,615,6.9,3.9,5.3,25.6,4.3,6.8,2.4,2.9,4.3,4.4,1.9,0.8,2.2,
2026-04-26_20:26:15,50.0,47.0,50.0,44.0,42.0,50.0,39.0,39.0,37.9,35.9,2292,2800,2800,2800,1300,2522,2800,2800,517,13.8,2.4,1.0,100.0,0.5,1.4,0.5,2.0,2.5,6.9,4.1,0.7,2.5,
2026-04-26_20:26:17,50.0,47.0,51.0,45.0,42.0,52.0,38.0,38.0,35.9,36.9,2542,2802,2800,2800,999,2540,2800,2800,2800,13.5,2.0,0.5,100.0,1.0,1.0,0.0,0.5,2.9,6.9,4.1,0.8,2.5,
2026-04-26_20:26:19,50.0,47.0,51.0,45.0,42.0,51.0,38.0,38.0,36.9,35.9,2425,1964,2800,2800,761,2680,2800,2800,2800,13.7,0.0,1.0,100.0,0.5,0.5,1.9,3.9,2.0,6.9,4.2,0.7,2.5,
2026-04-26_20:26:21,50.0,47.0,51.0,44.0,42.0,51.0,37.0,38.0,35.9,36.9,2420,1868,694,2799,2800,2800,2800,2800,2800,13.5,0.0,0.5,100.0,0.5,1.5,1.0,3.4,1.0,7.0,4.2,0.7,2.5,
2026-04-26_20:26:23,50.0,47.0,51.0,45.0,42.0,51.0,38.0,39.0,35.9,35.9,2410,1764,2800,2800,849,2668,2800,2800,2800,13.9,0.0,2.0,99.5,0.5,2.9,1.5,3.9,1.0,7.0,4.2,0.8,2.5,
2026-04-26_20:26:25,50.0,47.0,51.0,44.0,42.0,51.0,38.0,38.0,35.9,35.9,2400,1848,2800,2800,827,2531,2800,2800,2800,13.5,0.0,0.0,100.0,0.5,1.0,1.5,2.9,2.4,6.9,4.2,0.7,2.4,
2026-04-26_20:26:27,50.0,47.0,49.0,46.0,42.0,49.0,38.0,38.0,35.9,35.9,2378,1586,2800,2800,768,2669,2800,2800,2800,13.7,2.0,0.5,100.0,0.0,1.0,1.5,1.9,2.4,7.0,4.2,0.7,2.5,
2026-04-26_20:26:29,50.0,47.0,51.0,44.0,42.0,51.0,37.0,38.0,35.9,35.9,2505,2314,2800,2800,927,2800,2800,2800,2800,13.4,2.9,0.0,100.0,0.5,1.0,1.0,0.0,2.0,7.0,4.2,0.7,2.3,
