Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Composite,0","Temp:Sensor1,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:psys,0",Throttle
2026-04-23_13:08:01,47.0,48.0,47.0,45.0,44.0,46.0,41.0,39.0,34.9,35.9,2443,2800,2800,1907,2800,2800,2705,937,2800,6.2,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,4.3,2.7,0.0,2.2,
2026-04-23_13:08:03,47.0,48.0,47.0,44.0,43.0,46.0,39.0,40.0,35.9,33.9,1865,1692,1810,2800,986,1527,2521,787,2800,1.8,1.9,1.9,1.9,1.4,1.9,3.4,1.4,0.5,2.6,0.7,0.5,1.8,
2026-04-23_13:08:05,51.0,48.0,52.0,46.0,45.0,52.0,41.0,40.0,33.9,34.9,2264,1170,2187,2743,2800,2800,2742,2777,893,7.2,3.4,5.4,30.9,2.9,1.5,6.8,2.9,3.9,4.4,1.9,0.7,2.1,
2026-04-23_13:08:07,52.0,48.0,54.0,46.0,43.0,54.0,41.0,42.0,33.9,35.9,1942,2254,2800,2215,1284,758,2096,2800,1329,13.7,1.5,1.0,100.0,0.0,1.5,3.9,0.0,2.0,6.8,4.0,0.7,2.4,
2026-04-23_13:08:09,52.0,49.0,54.0,48.0,45.0,54.0,41.0,41.0,35.9,33.9,2337,1136,2800,2800,2800,1133,2433,2800,2800,14.1,2.4,1.0,100.0,1.5,2.9,2.0,0.0,2.9,6.8,4.0,0.7,2.4,
2026-04-23_13:08:12,53.0,49.0,54.0,46.0,45.0,54.0,41.0,41.0,33.9,33.9,2391,2800,400,2800,2800,2800,2800,1928,2800,13.9,4.4,0.5,100.0,0.0,0.5,3.0,0.0,2.5,6.8,4.0,0.7,2.4,
2026-04-23_13:08:14,53.0,49.0,51.0,47.0,45.0,52.0,42.0,40.0,33.9,34.9,1912,1632,2800,2050,2800,749,2075,2759,434,14.1,3.4,0.5,100.0,0.5,1.0,2.9,2.9,1.5,6.8,4.0,0.7,2.4,
2026-04-23_13:08:16,53.0,49.0,55.0,48.0,45.0,55.0,42.0,41.0,34.9,33.9,1779,2066,1968,2800,669,696,2542,2792,702,13.8,2.9,0.0,100.0,0.0,2.4,1.5,2.9,1.0,6.8,4.0,0.7,2.4,
2026-04-23_13:08:18,53.0,49.0,54.0,48.0,46.0,55.0,41.0,41.0,33.9,33.9,2639,1691,2800,2800,2800,2800,2624,2800,2800,13.7,3.9,0.5,100.0,0.5,1.5,1.9,0.0,1.5,6.8,4.0,0.7,2.4,
2026-04-23_13:08:20,53.0,49.0,54.0,48.0,46.0,54.0,42.0,42.0,34.9,34.9,2003,1870,1310,2800,2800,987,2545,2714,1001,14.2,1.5,1.5,100.0,1.5,3.9,2.9,0.0,2.0,6.9,4.1,0.7,2.4,
